"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory"
"193",25,3000,5,2,2,2000,2,40,20,1
"194",25,3000,5,2,3,2000,2,40,20,2
"195",25,3000,5,2,2,2000,2,40,20,1
"196",25,3000,5,3,3,2000,2,40,20,4
"197",25,3000,5,3,3,2000,2,40,20,1
"198",25,3000,5,3,3,2000,2,40,20,1
"199",25,3000,5,3,3,2000,2,40,20,4
"200",25,3000,5,3,3,2000,2,40,20,1
"201",25,3000,1,0,1,2000,2,40,20,0
"202",25,3000,1,0,0,2000,2,40,20,1
"203",25,3000,1,0,1,2000,2,40,20,0
"204",25,3000,1,0,0,2000,2,40,20,1
"205",25,3000,1,0,1,2000,2,40,20,0
"206",25,3000,1,1,1,2000,2,40,20,1
"207",25,3000,1,1,2,2000,2,40,20,2
"208",25,3000,1,1,3,2000,2,40,20,2
"209",25,3000,1,1,1,2000,2,40,20,1
"210",25,3000,1,1,1,2000,2,40,20,1
"211",25,3000,1,2,2,2000,2,40,20,1
"212",25,3000,1,2,2,2000,2,40,20,1
"213",25,3000,1,2,2,2000,2,40,20,1
"214",25,3000,1,2,2,2000,2,40,20,1
"215",25,3000,1,2,2,2000,2,40,20,1
"216",25,3000,1,3,3,2000,2,40,20,1
"217",25,3000,1,3,3,2000,2,40,20,1
"218",25,3000,1,3,3,2000,2,40,20,1
"219",25,3000,1,3,3,2000,2,40,20,1
"220",25,3000,1,3,3,2000,2,40,20,1
"221",25,3000,1,0,2,2000,2,40,20,0
"222",25,3000,1,0,0,2000,2,40,20,1
"223",25,3000,1,0,0,2000,2,40,20,1
"224",25,3000,1,0,0,2000,2,40,20,1
"225",25,3000,1,0,2,2000,2,40,20,0
"226",25,3000,1,1,1,2000,2,40,20,1
"227",25,3000,1,1,1,2000,2,40,20,1
"228",25,3000,1,1,1,2000,2,40,20,1
"229",25,3000,1,1,2,2000,2,40,20,2
"230",25,3000,1,1,1,2000,2,40,20,1
"231",25,3000,1,2,2,2000,2,40,20,1
"232",25,3000,1,2,3,2000,2,40,20,2
"233",25,3000,1,2,2,2000,2,40,20,1
"234",25,3000,1,2,3,2000,2,40,20,2
"235",25,3000,1,2,2,2000,2,40,20,1
"236",25,3000,1,3,3,2000,2,40,20,1
"237",25,3000,1,3,3,2000,2,40,20,1
"238",25,3000,1,3,3,2000,2,40,20,1
"239",25,3000,1,3,3,2000,2,40,20,1
"240",25,3000,1,3,3,2000,2,40,20,1
"241",25,3000,1,0,2,2000,2,40,20,0
"242",25,3000,1,0,1,2000,2,40,20,0
"243",25,3000,1,0,1,2000,2,40,20,0
"244",25,3000,1,0,0,2000,2,40,20,1
"245",25,3000,1,0,1,2000,2,40,20,0
"246",25,3000,1,1,2,2000,2,40,20,2
"247",25,3000,1,1,2,2000,2,40,20,2
"248",25,3000,1,1,1,2000,2,40,20,1
"249",25,3000,1,1,1,2000,2,40,20,1
"250",25,3000,1,1,2,2000,2,40,20,2
"251",25,3000,1,2,2,2000,2,40,20,1
"252",25,3000,1,2,2,2000,2,40,20,1
"253",25,3000,1,2,2,2000,2,40,20,4
"254",25,3000,1,2,2,2000,2,40,20,1
"255",25,3000,1,2,2,2000,2,40,20,1
"256",25,3000,1,3,3,2000,2,40,20,1
"257",25,3000,1,3,3,2000,2,40,20,1
"258",25,3000,1,3,3,2000,2,40,20,1
"259",25,3000,1,3,3,2000,2,40,20,1
"260",25,3000,1,3,3,2000,2,40,20,1
"261",25,3000,1,0,0,2000,2,40,20,1
"262",25,3000,1,0,0,2000,2,40,20,1
"263",25,3000,1,0,2,2000,2,40,20,0
"264",25,3000,1,0,0,2000,2,40,20,1
"265",25,3000,1,0,1,2000,2,40,20,0
"266",25,3000,1,1,2,2000,2,40,20,2
"267",25,3000,1,1,1,2000,2,40,20,1
"268",25,3000,1,1,1,2000,2,40,20,1
"269",25,3000,1,1,1,2000,2,40,20,1
"270",25,3000,1,1,1,2000,2,40,20,1
"271",25,3000,1,2,2,2000,2,40,20,1
"272",25,3000,1,2,2,2000,2,40,20,1
"273",25,3000,1,2,2,2000,2,40,20,1
"274",25,3000,1,2,2,2000,2,40,20,1
"275",25,3000,1,2,2,2000,2,40,20,1
"276",25,3000,1,3,3,2000,2,40,20,1
"277",25,3000,1,3,3,2000,2,40,20,1
"278",25,3000,1,3,3,2000,2,40,20,1
"279",25,3000,1,3,3,2000,2,40,20,1
"280",25,3000,1,3,3,2000,2,40,20,1
"281",25,3000,1,0,2,2000,2,40,20,0
"282",25,3000,1,0,2,2000,2,40,20,0
"283",25,3000,1,0,0,2000,2,40,20,1
"284",25,3000,1,0,1,2000,2,40,20,0
"285",25,3000,1,0,2,2000,2,40,20,0
"286",25,3000,1,1,1,2000,2,40,20,1
"287",25,3000,1,1,1,2000,2,40,20,1
"288",25,3000,1,1,1,2000,2,40,20,1
"289",25,3000,1,1,2,2000,2,40,20,2
"290",25,3000,1,1,1,2000,2,40,20,1
"291",25,3000,1,2,2,2000,2,40,20,1
"292",25,3000,1,2,2,2000,2,40,20,1
"293",25,3000,1,2,3,2000,2,40,20,2
"294",25,3000,1,2,2,2000,2,40,20,1
"295",25,3000,1,2,2,2000,2,40,20,1
"296",25,3000,1,3,3,2000,2,40,20,1
"297",25,3000,1,3,3,2000,2,40,20,1
"298",25,3000,1,3,3,2000,2,40,20,1
"299",25,3000,1,3,3,2000,2,40,20,1
"300",25,3000,1,3,3,2000,2,40,20,1
"301",25,3000,1,0,2,2000,2,40,20,0
"302",25,3000,1,0,1,2000,2,40,20,0
"303",25,3000,1,0,2,2000,2,40,20,0
"304",25,3000,1,0,0,2000,2,40,20,1
"305",25,3000,1,0,2,2000,2,40,20,0
"306",25,3000,1,1,3,2000,2,40,20,2
"307",25,3000,1,1,1,2000,2,40,20,1
"308",25,3000,1,1,1,2000,2,40,20,1
"309",25,3000,1,1,1,2000,2,40,20,1
"310",25,3000,1,1,1,2000,2,40,20,1
"311",25,3000,1,2,3,2000,2,40,20,2
"312",25,3000,1,2,2,2000,2,40,20,1
"313",25,3000,1,2,2,2000,2,40,20,1
"314",25,3000,1,2,2,2000,2,40,20,1
"315",25,3000,1,2,3,2000,2,40,20,2
"316",25,3000,1,3,3,2000,2,40,20,1
"317",25,3000,1,3,3,2000,2,40,20,1
"318",25,3000,1,3,3,2000,2,40,20,1
"319",25,3000,1,3,4,2000,2,40,20,2
"320",25,3000,1,3,3,2000,2,40,20,1
"321",25,3000,1,0,0,2000,2,40,20,1
"322",25,3000,1,0,0,2000,2,40,20,1
"323",25,3000,1,0,0,2000,2,40,20,1
"324",25,3000,1,0,0,2000,2,40,20,1
"325",25,3000,1,0,0,2000,2,40,20,1
"326",25,3000,1,1,1,2000,2,40,20,1
"327",25,3000,1,1,1,2000,2,40,20,1
"328",25,3000,1,1,1,2000,2,40,20,1
"329",25,3000,1,1,2,2000,2,40,20,2
"330",25,3000,1,1,3,2000,2,40,20,2
"331",25,3000,1,2,2,2000,2,40,20,1
"332",25,3000,1,2,2,2000,2,40,20,1
"333",25,3000,1,2,3,2000,2,40,20,2
"334",25,3000,1,2,2,2000,2,40,20,1
"335",25,3000,1,2,2,2000,2,40,20,1
"336",25,3000,1,3,3,2000,2,40,20,1
"337",25,3000,1,3,3,2000,2,40,20,1
"338",25,3000,1,3,3,2000,2,40,20,1
"339",25,3000,1,3,3,2000,2,40,20,1
"340",25,3000,1,3,3,2000,2,40,20,1
"341",25,3000,1,0,0,2000,2,40,20,1
"342",25,3000,1,0,0,2000,2,40,20,1
"343",25,3000,1,0,0,2000,2,40,20,1
"344",25,3000,1,0,0,2000,2,40,20,1
"345",25,3000,1,0,0,2000,2,40,20,1
"346",25,3000,1,1,1,2000,2,40,20,1
"347",25,3000,1,1,1,2000,2,40,20,1
"348",25,3000,1,1,1,2000,2,40,20,1
"349",25,3000,1,1,1,2000,2,40,20,1
"350",25,3000,1,1,1,2000,2,40,20,1
"351",25,3000,1,2,2,2000,2,40,20,1
"352",25,3000,1,2,3,2000,2,40,20,2
"353",25,3000,1,2,3,2000,2,40,20,2
"354",25,3000,1,2,2,2000,2,40,20,1
"355",25,3000,1,2,2,2000,2,40,20,1
"356",25,3000,1,3,3,2000,2,40,20,1
"357",25,3000,1,3,3,2000,2,40,20,1
"358",25,3000,1,3,3,2000,2,40,20,1
"359",25,3000,1,3,3,2000,2,40,20,1
"360",25,3000,1,3,3,2000,2,40,20,1
"361",25,3000,1,0,0,2000,2,40,20,1
"362",25,3000,1,0,1,2000,2,40,20,0
"363",25,3000,1,0,0,2000,2,40,20,1
"364",25,3000,1,0,0,2000,2,40,20,1
"365",25,3000,1,0,0,2000,2,40,20,1
"366",25,3000,1,1,1,2000,2,40,20,1
"367",25,3000,1,1,1,2000,2,40,20,1
"368",25,3000,1,1,1,2000,2,40,20,1
"369",25,3000,1,1,1,2000,2,40,20,1
"370",25,3000,1,1,2,2000,2,40,20,2
"371",25,3000,1,2,2,2000,2,40,20,1
"372",25,3000,1,2,2,2000,2,40,20,1
"373",25,3000,1,2,3,2000,2,40,20,2
"374",25,3000,1,2,2,2000,2,40,20,1
"375",25,3000,1,2,2,2000,2,40,20,1
"376",25,3000,1,3,3,2000,2,40,20,1
"377",25,3000,1,3,3,2000,2,40,20,1
"378",25,3000,1,3,3,2000,2,40,20,1
"379",25,3000,1,3,3,2000,2,40,20,1
"380",25,3000,1,3,3,2000,2,40,20,1
"381",25,3000,1,0,1,2000,2,40,20,0
"382",25,3000,1,0,1,2000,2,40,20,0
"383",25,3000,1,0,0,2000,2,40,20,1
"384",25,3000,1,0,0,2000,2,40,20,1
"385",25,3000,1,0,0,2000,2,40,20,1
"386",25,3000,1,1,1,2000,2,40,20,1
"387",25,3000,1,1,1,2000,2,40,20,1
"388",25,3000,1,1,2,2000,2,40,20,2
"389",25,3000,1,1,1,2000,2,40,20,1
"390",25,3000,1,1,1,2000,2,40,20,1
"391",25,3000,1,2,2,2000,2,40,20,1
"392",25,3000,1,2,3,2000,2,40,20,2
"393",25,3000,1,2,2,2000,2,40,20,1
"394",25,3000,1,2,2,2000,2,40,20,1
"395",25,3000,1,2,2,2000,2,40,20,1
"396",25,3000,1,3,3,2000,2,40,20,1
"397",25,3000,1,3,3,2000,2,40,20,4
"398",25,3000,1,3,3,2000,2,40,20,1
"399",25,3000,1,3,3,2000,2,40,20,1
"400",25,3000,1,3,3,2000,2,40,20,1
"401",25,3000,10,0,0,2000,2,40,20,1
"402",25,3000,10,0,0,2000,2,40,20,1
"403",25,3000,10,0,0,2000,2,40,20,1
"404",25,3000,10,0,1,2000,2,40,20,0
"405",25,3000,10,0,0,2000,2,40,20,1
"406",25,3000,10,1,1,2000,2,40,20,1
"407",25,3000,10,1,1,2000,2,40,20,1
"408",25,3000,10,1,1,2000,2,40,20,1
"409",25,3000,10,1,1,2000,2,40,20,1
"410",25,3000,10,1,1,2000,2,40,20,1
"411",25,3000,10,2,2,2000,2,40,20,1
"412",25,3000,10,2,2,2000,2,40,20,1
"413",25,3000,10,2,2,2000,2,40,20,1
"414",25,3000,10,2,2,2000,2,40,20,1
"415",25,3000,10,2,2,2000,2,40,20,1
"416",25,3000,10,3,3,2000,2,40,20,4
"417",25,3000,10,3,3,2000,2,40,20,1
"418",25,3000,10,3,3,2000,2,40,20,1
"419",25,3000,10,3,3,2000,2,40,20,1
"420",25,3000,10,3,3,2000,2,40,20,1
"421",25,3000,10,0,0,2000,2,40,20,1
"422",25,3000,10,0,1,2000,2,40,20,0
"423",25,3000,10,0,2,2000,2,40,20,0
"424",25,3000,10,0,0,2000,2,40,20,1
"425",25,3000,10,0,1,2000,2,40,20,0
"426",25,3000,10,1,1,2000,2,40,20,1
"427",25,3000,10,1,1,2000,2,40,20,1
"428",25,3000,10,1,2,2000,2,40,20,2
"429",25,3000,10,1,1,2000,2,40,20,1
"430",25,3000,10,1,2,2000,2,40,20,2
"431",25,3000,10,2,3,2000,2,40,20,2
"432",25,3000,10,2,2,2000,2,40,20,4
"433",25,3000,10,2,2,2000,2,40,20,1
"434",25,3000,10,2,2,2000,2,40,20,1
"435",25,3000,10,2,2,2000,2,40,20,1
"436",25,3000,10,3,3,2000,2,40,20,4
"437",25,3000,10,3,3,2000,2,40,20,1
"438",25,3000,10,3,3,2000,2,40,20,1
"439",25,3000,10,3,3,2000,2,40,20,1
"440",25,3000,10,3,3,2000,2,40,20,1
"441",25,3000,10,0,1,2000,2,40,20,0
"442",25,3000,10,0,1,2000,2,40,20,0
"443",25,3000,10,0,0,2000,2,40,20,1
"444",25,3000,10,0,0,2000,2,40,20,1
"445",25,3000,10,0,1,2000,2,40,20,0
"446",25,3000,10,1,1,2000,2,40,20,1
"447",25,3000,10,1,1,2000,2,40,20,1
"448",25,3000,10,1,2,2000,2,40,20,2
"449",25,3000,10,1,1,2000,2,40,20,0
"450",25,3000,10,1,1,2000,2,40,20,1
"451",25,3000,10,2,2,2000,2,40,20,1
"452",25,3000,10,2,2,2000,2,40,20,1
"453",25,3000,10,2,2,2000,2,40,20,1
"454",25,3000,10,2,2,2000,2,40,20,4
"455",25,3000,10,2,2,2000,2,40,20,1
"456",25,3000,10,3,3,2000,2,40,20,1
"457",25,3000,10,3,3,2000,2,40,20,4
"458",25,3000,10,3,3,2000,2,40,20,1
"459",25,3000,10,3,3,2000,2,40,20,1
"460",25,3000,10,3,3,2000,2,40,20,1
"461",25,3000,10,0,0,2000,2,40,20,1
"462",25,3000,10,0,2,2000,2,40,20,0
"463",25,3000,10,0,1,2000,2,40,20,0
"464",25,3000,10,0,1,2000,2,40,20,0
"465",25,3000,10,0,1,2000,2,40,20,0
"466",25,3000,10,1,1,2000,2,40,20,1
"467",25,3000,10,1,1,2000,2,40,20,1
"468",25,3000,10,1,1,2000,2,40,20,1
"469",25,3000,10,1,1,2000,2,40,20,1
"470",25,3000,10,1,1,2000,2,40,20,1
"471",25,3000,10,2,2,2000,2,40,20,1
"472",25,3000,10,2,2,2000,2,40,20,1
"473",25,3000,10,2,2,2000,2,40,20,1
"474",25,3000,10,2,2,2000,2,40,20,1
"475",25,3000,10,2,2,2000,2,40,20,1
"476",25,3000,10,3,3,2000,2,40,20,1
"477",25,3000,10,3,3,2000,2,40,20,4
"478",25,3000,10,3,3,2000,2,40,20,1
"479",25,3000,10,3,3,2000,2,40,20,1
