"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory"
"1975",25,3000,80,2,3,2000,2,40,20,0
"1976",25,3000,80,3,1,2000,2,40,20,0
"1977",25,3000,80,3,2,2000,2,40,20,3
"1978",25,3000,80,3,1,2000,2,40,20,0
"1979",25,3000,80,3,3,2000,2,40,20,4
"1980",25,3000,80,3,2,2000,2,40,20,0
"1981",25,3000,80,0,2,2000,2,40,20,0
"1982",25,3000,80,0,3,2000,2,40,20,0
"1983",25,3000,80,0,2,2000,2,40,20,0
"1984",25,3000,80,0,2,2000,2,40,20,0
"1985",25,3000,80,0,0,2000,2,40,20,1
"1986",25,3000,80,1,4,2000,2,40,20,2
"1987",25,3000,80,1,2,2000,2,40,20,2
"1988",25,3000,80,1,1,2000,2,40,20,1
"1989",25,3000,80,1,1,2000,2,40,20,1
"1990",25,3000,80,1,3,2000,2,40,20,2
"1991",25,3000,80,2,3,2000,2,40,20,0
"1992",25,3000,80,2,1,2000,2,40,20,1
"1993",25,3000,80,2,1,2000,2,40,20,1
"1994",25,3000,80,2,2,2000,2,40,20,0
"1995",25,3000,80,2,0,2000,2,40,20,0
"1996",25,3000,80,3,3,2000,2,40,20,4
"1997",25,3000,80,3,3,2000,2,40,20,4
"1998",25,3000,80,3,5,2000,2,40,20,2
"1999",25,3000,80,3,2,2000,2,40,20,0
"2000",25,3000,80,3,4,2000,2,40,20,2
"2001",25,3000,90,0,2,2000,2,40,20,0
"2002",25,3000,90,0,0,2000,2,40,20,1
"2003",25,3000,90,0,2,2000,2,40,20,0
"2004",25,3000,90,0,1,2000,2,40,20,0
"2005",25,3000,90,0,1,2000,2,40,20,0
"2006",25,3000,90,1,2,2000,2,40,20,0
"2007",25,3000,90,1,2,2000,2,40,20,0
"2008",25,3000,90,1,1,2000,2,40,20,0
"2009",25,3000,90,1,2,2000,2,40,20,2
"2010",25,3000,90,1,2,2000,2,40,20,0
"2011",25,3000,90,2,3,2000,2,40,20,2
"2012",25,3000,90,2,3,2000,2,40,20,0
"2013",25,3000,90,2,4,2000,2,40,20,2
"2014",25,3000,90,2,3,2000,2,40,20,2
"2015",25,3000,90,2,2,2000,2,40,20,0
"2016",25,3000,90,3,3,2000,2,40,20,0
"2017",25,3000,90,3,2,2000,2,40,20,1
"2018",25,3000,90,3,3,2000,2,40,20,0
"2019",25,3000,90,3,2,2000,2,40,20,0
"2020",25,3000,90,3,4,2000,2,40,20,2
"2021",25,3000,90,0,1,2000,2,40,20,0
"2022",25,3000,90,0,0,2000,2,40,20,1
"2023",25,3000,90,0,2,2000,2,40,20,0
"2024",25,3000,90,0,2,2000,2,40,20,0
"2025",25,3000,90,0,2,2000,2,40,20,0
"2026",25,3000,90,1,2,2000,2,40,20,0
"2027",25,3000,90,1,2,2000,2,40,20,0
"2028",25,3000,90,1,1,2000,2,40,20,0
"2029",25,3000,90,1,1,2000,2,40,20,0
"2030",25,3000,90,1,1,2000,2,40,20,0
"2031",25,3000,90,2,2,2000,2,40,20,4
"2032",25,3000,90,2,2,2000,2,40,20,4
"2033",25,3000,90,2,2,2000,2,40,20,0
"2034",25,3000,90,2,2,2000,2,40,20,0
"2035",25,3000,90,2,1,2000,2,40,20,1
"2036",25,3000,90,3,1,2000,2,40,20,0
"2037",25,3000,90,3,2,2000,2,40,20,3
"2038",25,3000,90,3,3,2000,2,40,20,0
"2039",25,3000,90,3,3,2000,2,40,20,0
"2040",25,3000,90,3,2,2000,2,40,20,0
"2041",25,3000,90,0,2,2000,2,40,20,0
"2042",25,3000,90,0,2,2000,2,40,20,0
"2043",25,3000,90,0,0,2000,2,40,20,1
"2044",25,3000,90,0,2,2000,2,40,20,0
"2045",25,3000,90,0,0,2000,2,40,20,1
"2046",25,3000,90,1,1,2000,2,40,20,0
"2047",25,3000,90,1,2,2000,2,40,20,0
